timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1258710012288,-0.0327082,0.0226073,0.000328948,-0.045697,0.00603133,0.0590006,-0.0937885,-0.357557,0.0811918,0.992293,0.118425,0.0333276,-0.0148764,-0.0211758,0.00061588,0.209705,0.0172986,-0.0329872,0.418752,0,0,0,0.00543945,-0.00590777,0.107936,1
1258730010528,-0.0332799,0.0226401,0.00102312,-0.0496729,-0.000560252,0.0568088,-0.569524,-0.742128,-0.44686,0.992266,0.118684,0.0332361,-0.0147926,-0.0211758,0.00061588,0.209705,0.0181561,-0.0330364,0.417364,0,0,0,0.00575409,-0.00610265,0.11153,1
1258749998976,-0.0344164,0.0224296,0.00249815,-0.0436855,-0.0159397,0.0675319,0.0168036,-0.368917,-0.142247,0.992265,0.118699,0.0330468,-0.0152177,-0.0211758,0.00061588,0.209705,0.019861,-0.0327206,0.414413,0,0,0,0.00591672,-0.00618052,0.113259,1
1258770022784,-0.0349415,0.0221732,0.00337719,-0.0369042,-0.0234232,0.0673965,1.02409,-0.77975,0.121451,0.992262,0.118716,0.0329144,-0.0155712,-0.0211758,0.00061588,0.209705,0.0206486,-0.032336,0.412655,0,0,0,0.00622048,-0.00626073,0.116575,1
1258790010464,-0.0406936,0.0308927,0.00808051,-0.0640166,0.0344165,0.0919086,0.659876,2.56756,-0.11805,0.991771,0.121968,0.034805,-0.0174962,-0.0211758,0.00061588,0.209705,0.0292767,-0.0454153,0.403249,0,0,0,0.00637046,-0.00628396,0.118375,1
1258810003392,-0.0427191,0.032361,0.0104151,-0.0894624,0.0663058,0.081387,-0.209472,0.0310681,-0.199823,0.99168,0.122697,0.0344053,-0.0183341,-0.0211758,0.00061588,0.209705,0.032315,-0.0476177,0.398579,0,0,0,0.00681984,-0.0066685,0.121374,1
1258830013312,-0.0353183,0.0344765,0.0070388,-0.0141133,0.0765636,0.0490401,-0.479867,0.785578,-0.180846,0.991749,0.123042,0.0311882,-0.017983,-0.0211758,0.00061588,0.209705,0.0212138,-0.0507909,0.405332,0,0,0,0.00747505,-0.00728145,0.124787,1
1258850004128,-0.0358775,0.0367148,0.00828076,-0.0279116,0.104067,0.0509147,0.689926,0.153449,-0.61971,0.991715,0.123333,0.0309248,-0.0183276,-0.0211758,0.00061588,0.209705,0.0220526,-0.0541484,0.402848,0,0,0,0.00755912,-0.00758453,0.126483,1
1258870008480,-0.0364359,0.0392478,0.00942192,-0.0211398,0.111501,0.0461053,-0.00910752,0.989389,-0.275981,0.991736,0.123105,0.0308983,-0.0187577,-0.0211758,0.00061588,0.209705,0.0228902,-0.0579479,0.400566,0,0,0,0.00780415,-0.00836045,0.129935,1
1258890005696,-0.0367418,0.0409637,0.0100838,-0.0201197,0.119968,0.0431825,0.14672,0.152769,-0.118301,0.991776,0.122675,0.0311205,-0.0191117,-0.0211758,0.00061588,0.209705,0.023349,-0.0605217,0.399242,0,0,0,0.00801351,-0.00916615,0.133306,1
