timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ext_fl_acc(0),ext_fl_acc(1),ext_fl_acc(2)
1695201699868772352,0.601865,-1.80464,-0.0840286,-0.0280832,0.0205277,-0.255221,0.39959,0.019522,0.0963282,0.720624,0.021412,0.00570988,-0.692972,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0759163,0.00211587,-0.723305
1695201699881007584,0.601865,-1.80464,-0.0840286,-0.0280832,0.0205277,-0.255221,0.39959,0.019522,0.0963282,0.720624,0.021412,0.00570988,-0.692972,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0772856,0.00142027,-0.748888
1695201699888725792,0.600043,-1.80362,-0.0950065,-0.0321497,0.0307681,-0.249194,0.0543176,-0.0104898,0.115121,0.721499,0.0226243,0.00455412,-0.69203,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0789116,0.00134631,-0.774548
1695201699898777024,0.600043,-1.80362,-0.0950065,-0.0321497,0.0307681,-0.249194,0.0543176,-0.0104898,0.115121,0.721499,0.0226243,0.00455412,-0.69203,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0804751,0.0011014,-0.80045
1695201699908704704,0.600043,-1.80362,-0.0950065,-0.0321497,0.0307681,-0.249194,0.0543176,-0.0104898,0.115121,0.721499,0.0226243,0.00455412,-0.69203,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0819762,0.000704285,-0.826614
1695201699918660704,0.600043,-1.80362,-0.0950065,-0.0321497,0.0307681,-0.249194,0.0543176,-0.0104898,0.115121,0.721499,0.0226243,0.00455412,-0.69203,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0834195,0.00016869,-0.853031
1695201699928720864,0.597964,-1.8018,-0.108199,-0.0348297,0.0367378,-0.223158,0.0728949,-0.266122,0.0920647,0.72318,0.0223464,0.000479155,-0.690298,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0850638,-8.77811e-05,-0.878951
1695201699938644480,0.597964,-1.8018,-0.108199,-0.0348297,0.0367378,-0.223158,0.0728949,-0.266122,0.0920647,0.72318,0.0223464,0.000479155,-0.690298,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0866586,-0.000466886,-0.905133
1695201699951134016,0.597964,-1.8018,-0.108199,-0.0348297,0.0367378,-0.223158,0.0728949,-0.266122,0.0920647,0.72318,0.0223464,0.000479155,-0.690298,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0882098,-0.000959301,-0.93155
1695201699958637632,0.597964,-1.8018,-0.108199,-0.0348297,0.0367378,-0.223158,0.0728949,-0.266122,0.0920647,0.72318,0.0223464,0.000479155,-0.690298,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0897202,-0.00155533,-0.958194
1695201699970361920,0.597573,-1.8014,-0.110729,-0.0327666,0.038282,-0.197409,-0.0164818,-0.365485,0.0900999,0.723864,0.0203343,-0.00216697,-0.68964,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0911048,-0.00216382,-0.984322
1695201699978603808,0.596229,-1.80019,-0.117425,-0.036212,0.0396902,-0.145327,-0.0304509,-0.444758,0.0670118,0.724301,0.0170406,-0.00511378,-0.689254,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0928642,-0.00279772,-1.00927
1695201699988710016,0.596229,-1.80019,-0.117425,-0.036212,0.0396902,-0.145327,-0.0304509,-0.444758,0.0670118,0.724301,0.0170406,-0.00511378,-0.689254,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0945672,-0.00346522,-1.03444
1695201699998596800,0.596229,-1.80019,-0.117425,-0.036212,0.0396902,-0.145327,-0.0304509,-0.444758,0.0670118,0.724301,0.0170406,-0.00511378,-0.689254,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0962398,-0.0041735,-1.05971
1695201700010424768,0.596229,-1.80019,-0.117425,-0.036212,0.0396902,-0.145327,-0.0304509,-0.444758,0.0670118,0.724301,0.0170406,-0.00511378,-0.689254,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0978828,-0.004919,-1.08509
1695201700018560160,0.594518,-1.79842,-0.124627,-0.029405,0.0422706,-0.110398,0.150431,-0.409775,0.0776203,0.725279,0.0125547,-0.0124616,-0.688228,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0990713,-0.0055498,-1.10969
1695201700030302368,0.594518,-1.79842,-0.124627,-0.029405,0.0422706,-0.110398,0.150431,-0.409775,0.0776203,0.725279,0.0125547,-0.0124616,-0.688228,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.100279,-0.00613809,-1.13443
1695201700038863904,0.594518,-1.79842,-0.124627,-0.029405,0.0422706,-0.110398,0.150431,-0.409775,0.0776203,0.725279,0.0125547,-0.0124616,-0.688228,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.101516,-0.00668972,-1.15923
1695201700048571296,0.594518,-1.79842,-0.124627,-0.029405,0.0422706,-0.110398,0.150431,-0.409775,0.0776203,0.725279,0.0125547,-0.0124616,-0.688228,0.605859,-1.80578,-0.0578205,0,0,0.0534456,0,0,0,-0.102779,-0.00720692,-1.18409
1695201700058612192,0.594518,-1.79842,-0.124627,-0.029405,0.0422706,-0.110398,0.150431,-0.409775,0.0776203,0.725279,0.0125547,-0.0124616,-0.688228,0.605859,-1.80578,-0.0578205,0,0,0.0534456,0,0,0,-0.104065,-0.0076916,-1.20901
1695201700070545760,0.592575,-1.79641,-0.130474,-0.0403536,0.0341922,-0.0215929,0.0381471,-0.355648,0.0693427,0.726626,0.0058742,-0.0223492,-0.686644,0.605859,-1.80578,-0.0578205,0,0,0.0534456,0,0,0,-0.106795,-0.00906266,-1.23184
1695201700078540480,0.592575,-1.79641,-0.130474,-0.0403536,0.0341922,-0.0215929,0.0381471,-0.355648,0.0693427,0.726626,0.0058742,-0.0223492,-0.686644,0.605859,-1.80578,-0.0578205,0,0,0.0534456,0,0,0,-0.109459,-0.0101752,-1.25483
1695201700088709888,0.592575,-1.79641,-0.130474,-0.0403536,0.0341922,-0.0215929,0.0381471,-0.355648,0.0693427,0.726626,0.0058742,-0.0223492,-0.686644,0.605859,-1.80578,-0.0978205,0,0,0.0261227,0,0,0,-0.112152,-0.0110594,-1.27779
1695201700098581696,0.592575,-1.79641,-0.130474,-0.0403536,0.0341922,-0.0215929,0.0381471,-0.355648,0.0693427,0.726626,0.0058742,-0.0223492,-0.686644,0.605859,-1.80578,-0.0978205,0,0,0.0261227,0,0,0,-0.114871,-0.0117269,-1.30073
1695201700111207296,0.590925,-1.79475,-0.133085,-0.0286522,0.0217094,0.037547,0.0132234,-0.255907,0.0686802,0.727515,0.00230454,-0.0274573,-0.685538,0.605859,-1.80578,-0.0978205,0,0,0.0261227,0,0,0,-0.116994,-0.0139199,-1.32241
1695201700118714592,0.590925,-1.79475,-0.133085,-0.0286522,0.0217094,0.037547,0.0132234,-0.255907,0.0686802,0.727515,0.00230454,-0.0274573,-0.685538,0.605859,-1.80578,-0.0978205,0,0,0.0261227,0,0,0,-0.119315,-0.0156463,-1.34404
1695201700128703968,0.590518,-1.79447,-0.13306,-0.0367988,0.0244743,0.0504183,0.0132234,-0.255907,0.0686802,0.727515,0.00230454,-0.0274573,-0.685538,0.605859,-1.80578,-0.0978205,0,0,0.0261227,0,0,0,-0.123316,-0.0166079,-1.36514
1695201700141004128,0.590518,-1.79447,-0.13306,-0.0367988,0.0244743,0.0504183,0.0132234,-0.255907,0.0686802,0.727515,0.00230454,-0.0274573,-0.685538,0.605859,-1.80578,-0.137821,0,0,-0.0038081,0,0,0,-0.127598,-0.0170818,-1.38609
1695201700150437984,0.590518,-1.79447,-0.13306,-0.0367988,0.0244743,0.0504183,0.0132234,-0.255907,0.0686802,0.727515,0.00230454,-0.0274573,-0.685538,0.605859,-1.80578,-0.137821,0,0,-0.0038081,0,0,0,-0.132211,-0.0170466,-1.40686
1695201700158534368,0.590518,-1.79447,-0.13306,-0.0367988,0.0244743,0.0504183,0.0132234,-0.255907,0.0686802,0.727515,0.00230454,-0.0274573,-0.685538,0.605859,-1.80578,-0.137821,0,0,-0.0038081,0,0,0,-0.137449,-0.0164119,-1.42727
1695201700168619712,0.589107,-1.79317,-0.13256,-0.0250885,0.0132771,0.0417828,0.100869,0.124299,0.032404,0.728142,0.00266571,-0.0281271,-0.684844,0.605859,-1.80578,-0.137821,0,0,-0.0038081,0,0,0,-0.140812,-0.0173435,-1.44796
1695201700178613440,0.589107,-1.79317,-0.13256,-0.0250885,0.0132771,0.0417828,0.100869,0.124299,0.032404,0.728142,0.00266571,-0.0281271,-0.684844,0.605859,-1.80578,-0.137821,0,0,-0.0038081,0,0,0,-0.144911,-0.0175941,-1.46838
1695201700189807008,0.589107,-1.79317,-0.13256,-0.0250885,0.0132771,0.0417828,0.100869,0.124299,0.032404,0.728142,0.00266571,-0.0281271,-0.684844,0.605859,-1.80578,-0.177821,0,0,-0.0362083,0,0,0,-0.149823,-0.0170408,-1.48848
1695201700198650336,0.589107,-1.79317,-0.13256,-0.0250885,0.0132771,0.0417828,0.100869,0.124299,0.032404,0.728142,0.00266571,-0.0281271,-0.684844,0.605859,-1.80578,-0.177821,0,0,-0.0362083,0,0,0,-0.155682,-0.0155314,-1.50815
1695201700210352064,0.589107,-1.79317,-0.13256,-0.0250885,0.0132771,0.0417828,0.100869,0.124299,0.032404,0.728142,0.00266571,-0.0281271,-0.684844,0.605859,-1.80578,-0.177821,0,0,-0.0362083,0,0,0,-0.163434,-0.0125352,-1.52682
1695201700218668256,0.587938,-1.79256,-0.132026,-0.0222817,0.00557813,0.0168057,-0.0315979,0.216395,0.0318137,0.728864,0.00483487,-0.0250161,-0.684184,0.605859,-1.80578,-0.177821,0,0,-0.0362083,0,0,0,-0.169617,-0.0115146,-1.54634
1695201700228687840,0.587674,-1.79247,-0.131981,-0.020386,0.00344318,0.00688362,-0.0315979,0.216395,0.0318137,0.728864,0.00483487,-0.0250161,-0.684184,0.605859,-1.80578,-0.177821,0,0,-0.0362083,0,0,0,-0.176077,-0.0102812,-1.56568
1695201700240655328,0.587401,-1.79239,-0.131982,-0.0223616,0.00307587,0.008396,0.134547,0.232602,0.0369022,0.72926,0.00697345,-0.0238438,-0.683785,0.605859,-1.80578,-0.21782,0,0,-0.0686709,0,0,0,-0.185632,-0.00778242,-1.58343
1695201700249005280,0.587401,-1.79239,-0.131982,-0.0223616,0.00307587,0.008396,0.134547,0.232602,0.0369022,0.72926,0.00697345,-0.0238438,-0.683785,0.605859,-1.80578,-0.21782,0,0,-0.0686709,0,0,0,-0.197945,-0.00362691,-1.59894
1695201700258634624,0.587401,-1.79239,-0.131982,-0.0223616,0.00307587,0.008396,0.134547,0.232602,0.0369022,0.72926,0.00697345,-0.0238438,-0.683785,0.605859,-1.80578,-0.21782,0,0,-0.0686709,0,0,0,-0.215473,0.00352233,-1.60586
1695201700268717632,0.587401,-1.79239,-0.131982,-0.0223616,0.00307587,0.008396,0.134547,0.232602,0.0369022,0.72926,0.00697345,-0.0238438,-0.683785,0.605859,-1.80578,-0.21782,0,0,-0.0686709,0,0,0,-0.232682,0.0116442,-1.59922
1695201700278638496,0.586301,-1.79188,-0.132109,-0.0227054,0.00705633,-0.0354632,-0.0879508,0.32314,0.040757,0.730034,0.0126033,-0.0187139,-0.683038,0.605859,-1.80578,-0.21782,0,0,-0.0686709,0,0,0,-0.244543,0.0202655,-1.61316
1695201700289882336,0.586301,-1.79188,-0.132109,-0.0227054,0.00705633,-0.0354632,-0.0879508,0.32314,0.040757,0.730034,0.0126033,-0.0187139,-0.683038,0.605859,-1.80578,-0.25782,0,0,-0.100569,0,0,0,-0.260746,0.0313083,-1.61784
1695201700298506592,0.586301,-1.79188,-0.132109,-0.0227054,0.00705633,-0.0354632,-0.0879508,0.32314,0.040757,0.730034,0.0126033,-0.0187139,-0.683038,0.605859,-1.80578,-0.25782,0,0,-0.100569,0,0,0,-0.277103,0.0418369,-1.61259
1695201700308610336,0.586301,-1.79188,-0.132109,-0.0227054,0.00705633,-0.0354632,-0.0879508,0.32314,0.040757,0.730034,0.0126033,-0.0187139,-0.683038,0.605859,-1.80578,-0.25782,0,0,-0.100569,0,0,0,-0.288844,0.0488765,-1.59773
1695201700318742432,0.586301,-1.79188,-0.132109,-0.0227054,0.00705633,-0.0354632,-0.0879508,0.32314,0.040757,0.730034,0.0126033,-0.0187139,-0.683038,0.605859,-1.80578,-0.25782,0,0,-0.100569,0,0,0,-0.297167,0.0535218,-1.57982
1695201700328705888,0.584766,-1.79114,-0.134336,-0.0285876,0.0142074,-0.10159,0.0466033,0.336859,0.01026,0.730289,0.0165966,-0.0143281,-0.682786,0.605859,-1.80578,-0.25782,0,0,-0.100569,0,0,0,-0.31109,0.0633238,-1.59073
1695201700339760928,0.584766,-1.79114,-0.134336,-0.0285876,0.0142074,-0.10159,0.0466033,0.336859,0.01026,0.730289,0.0165966,-0.0143281,-0.682786,0.605859,-1.80578,-0.29782,0,0,-0.130788,0,0,0,-0.328266,0.0738066,-1.58942
1695201700348746720,0.584766,-1.79114,-0.134336,-0.0285876,0.0142074,-0.10159,0.0466033,0.336859,0.01026,0.730289,0.0165966,-0.0143281,-0.682786,0.605859,-1.80578,-0.29782,0,0,-0.130788,0,0,0,-0.343878,0.0819827,-1.57962
1695201700361843200,0.584766,-1.79114,-0.134336,-0.0285876,0.0142074,-0.10159,0.0466033,0.336859,0.01026,0.730289,0.0165966,-0.0143281,-0.682786,0.605859,-1.80578,-0.29782,0,0,-0.130788,0,0,0,-0.354529,0.0864881,-1.56302
1695201700368780128,0.58333,-1.7902,-0.140532,-0.0337978,0.0217392,-0.18119,0.191918,0.0425967,0.027573,0.731172,0.0200789,-0.0134136,-0.681766,0.605859,-1.80578,-0.29782,0,0,-0.130788,0,0,0,-0.363867,0.0920492,-1.58022
1695201700378767648,0.58333,-1.7902,-0.140532,-0.0337978,0.0217392,-0.18119,0.191918,0.0425967,0.027573,0.731172,0.0200789,-0.0134136,-0.681766,0.605859,-1.80578,-0.29782,0,0,-0.130788,0,0,0,-0.377996,0.0986201,-1.59307
1695201700388699776,0.582978,-1.78998,-0.142146,-0.0288072,0.0215831,-0.193875,0.191918,0.0425967,0.027573,0.731172,0.0200789,-0.0134136,-0.681766,0.605859,-1.80578,-0.33782,0,0,-0.15654,0,0,0,-0.388726,0.103563,-1.60942
1695201700400348384,0.582978,-1.78998,-0.142146,-0.0288072,0.0215831,-0.193875,0.191918,0.0425967,0.027573,0.731172,0.0200789,-0.0134136,-0.681766,0.605859,-1.80578,-0.33782,0,0,-0.15654,0,0,0,-0.404481,0.107882,-1.62112
1695201700410698752,0.582978,-1.78998,-0.142146,-0.0288072,0.0215831,-0.193875,0.191918,0.0425967,0.027573,0.731172,0.0200789,-0.0134136,-0.681766,0.605859,-1.80578,-0.33782,0,0,-0.15654,0,0,0,-0.421859,0.108886,-1.61112
