timestamp,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_ax,est_ay,est_az,est_qw,est_qx,est_qy,est_qz,des_px,des_py,des_pz,des_vx,des_vy,des_vz,des_ax,des_ay,des_az,disturb_x,disturb_y,disturb_z
1695216170974658432,-0.0275915,0.00970516,-0.12746,-0.111069,0.0833733,-0.152706,0.431641,-0.688803,0.0214049,0.708525,0.0167274,-0.0307619,-0.704816,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.222277,0.102222,-0.956838
1695216170983313216,-0.0275915,0.00970516,-0.12746,-0.111069,0.0833733,-0.152706,0.431641,-0.688803,0.0214049,0.708525,0.0167274,-0.0307619,-0.704816,-0.00323517,-0.00932515,-0.0429909,0,0,0,0,0,0,-0.22658,0.102793,-0.983465
1695216170996465856,-0.0275915,0.00970516,-0.12746,-0.111069,0.0833733,-0.152706,0.431641,-0.688803,0.0214049,0.708525,0.0167274,-0.0307619,-0.704816,-0.00323517,-0.00932515,-0.0529909,0,0,0.0595757,0,0,0,-0.230759,0.103344,-1.0102
1695216171003399232,-0.0275915,0.00970516,-0.12746,-0.111069,0.0833733,-0.152706,0.431641,-0.688803,0.0214049,0.708525,0.0167274,-0.0307619,-0.704816,-0.00323517,-0.00932515,-0.0529909,0,0,0.0595757,0,0,0,-0.234824,0.103877,-1.03704
1695216171013110528,-0.0275915,0.00970516,-0.12746,-0.111069,0.0833733,-0.152706,0.431641,-0.688803,0.0214049,0.708525,0.0167274,-0.0307619,-0.704816,-0.00323517,-0.00932515,-0.0529909,0,0,0.0595757,0,0,0,-0.238778,0.104392,-1.06396
1695216171023607936,-0.0348592,0.0155187,-0.138454,-0.102021,0.0711743,-0.0785092,0.517083,-0.672458,-0.000718378,0.707821,0.0116628,-0.0539171,-0.704235,-0.00323517,-0.00932515,-0.0529909,0,0,0.0595757,0,0,0,-0.242443,0.104019,-1.08888
1695216171036530208,-0.0348592,0.0155187,-0.138454,-0.102021,0.0711743,-0.0785092,0.517083,-0.672458,-0.000718378,0.707821,0.0116628,-0.0539171,-0.704235,-0.00323517,-0.00932515,-0.0529909,0,0,0.0595757,0,0,0,-0.246112,0.103876,-1.11397
1695216171043504896,-0.0348592,0.0155187,-0.138454,-0.102021,0.0711743,-0.0785092,0.517083,-0.672458,-0.000718378,0.707821,0.0116628,-0.0539171,-0.704235,-0.00323517,-0.00932515,-0.0929909,0,0,0.0363702,0,0,0,-0.249856,0.103968,-1.13907
1695216171053364352,-0.0348592,0.0155187,-0.138454,-0.102021,0.0711743,-0.0785092,0.517083,-0.672458,-0.000718378,0.707821,0.0116628,-0.0539171,-0.704235,-0.00323517,-0.00932515,-0.0929909,0,0,0.0363702,0,0,0,-0.253673,0.104282,-1.16417
1695216171064038272,-0.0407904,0.019627,-0.143833,-0.0928033,0.0368365,-0.0248973,0.365771,-0.457259,0.0113605,0.707287,0.0108219,-0.0720542,-0.703162,-0.00323517,-0.00932515,-0.0929909,0,0,0.0363702,0,0,0,-0.257368,0.101937,-1.18772
1695216171073582464,-0.0419241,0.0202407,-0.144503,-0.0948723,0.0383392,-0.000452856,0.365771,-0.457259,0.0113605,0.707287,0.0108219,-0.0720542,-0.703162,-0.00323517,-0.00932515,-0.0929909,0,0,0.0363702,0,0,0,-0.26188,0.100193,-1.21059
1695216171083312096,-0.0419241,0.0202407,-0.144503,-0.0948723,0.0383392,-0.000452856,0.365771,-0.457259,0.0113605,0.707287,0.0108219,-0.0720542,-0.703162,-0.00323517,-0.00932515,-0.0929909,0,0,0.0363702,0,0,0,-0.266803,0.0990656,-1.2333
1695216171093371840,-0.0419241,0.0202407,-0.144503,-0.0948723,0.0383392,-0.000452856,0.365771,-0.457259,0.0113605,0.707287,0.0108219,-0.0720542,-0.703162,-0.00323517,-0.00932515,-0.132991,0,0,0.00921,0,0,0,-0.272179,0.0985523,-1.2558
1695216171103232448,-0.0419241,0.0202407,-0.144503,-0.0948723,0.0383392,-0.000452856,0.365771,-0.457259,0.0113605,0.707287,0.0108219,-0.0720542,-0.703162,-0.00323517,-0.00932515,-0.132991,0,0,0.00921,0,0,0,-0.27799,0.09864,-1.27806
1695216171113058560,-0.0441468,0.021534,-0.145358,-0.0841003,0.0383091,0.00888372,0.30511,-0.266261,-0.00761285,0.706956,0.0106325,-0.0766482,-0.703012,-0.00323517,-0.00932515,-0.132991,0,0,0.00921,0,0,0,-0.283554,0.0994144,-1.2999
